ticker,n_obs,alpha,alpha_t,adj_R2,beta_MKT,t_MKT,beta_SMB,t_SMB,beta_MOM,t_MOM
SREN.SW,141,-0.0012460514746040626,-1.480194930760658,0.06665827249387901,-0.0219065844675666,-0.7195478384871828,-0.06186979171127106,-1.428725761422829,0.06588922095946952,2.4114019718623214
PHNX.L,141,-0.0005218508536728492,-0.39938189736040247,0.06631997924545385,-0.014807807814711154,-0.4433318726617951,-0.04995456675594215,-1.0771662942773874,0.08140954555756583,2.5034873259818906
III.L,141,0.0007314675022599935,0.4767755810477172,0.0544166701993376,-0.027919131911462284,-0.7697434299793,-0.08752686014059657,-1.8342922112596571,0.05548879793536803,1.4862903511228953
SREI.L,141,0.0007853959549330864,0.5174405881362667,0.05222501667343449,-0.10654947268600676,-1.6818206093600518,-0.08650034130096379,-0.9353783054198661,0.013183556842517583,0.2500195418164944
PRU.L,141,-0.003877351636941423,-2.30849077758513,0.03950362875829039,0.06993538676560042,1.4335382081066694,-0.14279097753238842,-2.208075210292463,0.07036314724968912,1.7513605686771723
PHP.L,141,0.002069204250150331,2.475785044161226,0.03907190141558625,-0.07644998496496451,-1.9549179325610369,0.04486331429538607,1.1549662724736596,-0.005704433106853824,-0.19299149965270176
BEZ.L,141,0.0011593654174448626,1.1172759563947583,0.03801755684804542,-0.03514265890135795,-1.1239974217310382,0.0017963082532583517,0.039191213428728666,0.05332365409346738,2.5118809579130037
BNP.PA,141,-0.004612632003301897,-2.4399854524374187,0.03758043950606338,0.09040105793135204,2.193555980595925,0.03261827273443942,0.4951820097190874,0.08682474173290106,3.9117714167490494
ASHM.L,141,-0.0017570711907677558,-1.2222160578236962,0.03737928033343618,0.025273272534806775,0.5802522653800655,-0.06967899594893034,-1.0909065694416624,0.08718874859105685,2.5331291030223015
ESP.L,141,0.0008808603947367344,1.0725572186304682,0.03483896721275026,-0.01968208105952816,-0.5403108509696618,-0.07684537086114696,-1.4640168343472226,0.013102769273422084,0.4519300487657275
INVP.L,141,-0.0033245665880561174,-1.6526890210518785,0.034231647524015196,-0.12328111152588034,-2.3889951484847125,0.017852492381567494,0.20339841178392004,0.00930760984738735,0.21442264250244006
CBG.L,141,-0.0022384476553183054,-1.5916893959756815,0.030563143970125606,0.0011097290373504505,0.023604733873856757,0.018089736186679983,0.3164443402094874,0.08877771866152108,2.564670312392004
EMG.L,141,-0.0007946317017593835,-0.5347579575950419,0.030192643217994197,0.03329289438779382,0.6456865091598559,0.018830174105916198,0.33765286534844696,0.1150007746653703,2.6258228693252734
N91.L,141,-0.0001790199399425629,-0.272020115702224,0.02860929805062684,-0.05268384687686046,-1.3196232238409082,0.02484910018939837,0.6327616725230146,0.02413916327065596,1.0798482060862025
SRE.L,141,0.003673915492221984,2.562907827378945,0.023201959214705137,-0.05504584903148717,-1.066327104867807,-0.0018259059866997127,-0.019676554157155274,0.052855513592972504,1.1384036821959311
ABN.AS,141,-0.002233006384231991,-1.3099923016823145,0.022314894288202325,0.0063887866522443024,0.14241885837565588,-0.0494698991469133,-0.8054441237588238,0.06750226509623052,1.6625827646917148
CSN.L,141,0.0028449658109881764,2.024577605921305,0.022077679260857797,0.03487742821726492,0.6895083161356973,-0.12123490625429734,-2.015157158196715,-0.04458739983365806,-1.4835617310027633
UCG.MI,141,-0.003097811535460051,-1.5644160694856604,0.021863058030216376,0.11834558166359886,1.8935751872062654,-0.001700765009853607,-0.01759992462845858,0.10223224340894181,2.4030690781936968
ABDN.L,141,-0.0019051472129047078,-1.2897696302140482,0.021555603295601355,0.005679888411014435,0.13951292659326783,-0.027657162374838968,-0.5020718609271232,0.07933842510125241,2.137681795319635
PCTN.L,141,0.0028794178284497463,1.2367864269253754,0.021450137953822224,-0.1277637691157846,-1.2937591934860913,0.04194641186040779,0.3351042056611862,0.02279851705302396,0.3809084580365451
CHRY.L,141,0.0008173120103150444,0.4880191566676801,0.01968224151321929,0.08379065307228359,1.1860345597347737,0.08365895727360924,1.1552956657315814,0.02659113882336221,0.4479739595638448
FOXT.L,141,0.00252395389694623,1.4275390628918023,0.019298382277984083,0.1332521546353791,2.0601339484827697,-0.15353885099427697,-1.6028543029932016,0.011590003205675943,0.25295517060459316
GLE.PA,141,-0.0023878122758584485,-1.014759053863402,0.019098344286269442,0.06636722385100202,0.9177263150803036,0.07041395291596364,0.9330339129987973,0.10236341061777014,2.6227869994454127
LMP.L,141,0.000453862629301013,0.4230860180699716,0.0190879274343404,-0.05570387219387804,-1.2234626011677732,0.004193144225475503,0.07973792908455875,0.03202682217049657,1.0956051909005688
ICG.L,141,-0.0010379224938363233,-0.6949535533840728,0.01772204769171526,0.0011694778110994432,0.0372759586441598,-0.05445156775438891,-1.0695894473556784,0.061167962414001284,1.6954443483432822
INTRUM.ST,141,0.000164526379758816,0.08592688724387498,0.017120254466265528,-0.09633997128951863,-1.33894239205255,-0.09350421742921972,-1.1187435756016493,-0.03323405045126931,-0.6241194397493253
BMED.MI,141,-0.001799546234636985,-1.0693283206144513,0.016158956589815254,0.016938782358505728,0.48231677896278446,0.04764044593307289,0.9150428323932429,0.06717083943025431,2.2965664223663147
FCH.L,141,0.0014973822010310247,0.779950545826261,0.015288020515275447,-0.11008498793725488,-1.674625880546404,0.060374127166783934,0.904531087554208,0.020842608144616366,0.3760134382773247
IWG.L,141,0.002510435781052681,1.4589507790622291,0.014769011584536695,0.024597025784433433,0.5489555446998292,-0.14866816877025585,-1.5279102688621786,0.021036488391327875,0.5941143735159524
