Date,ABDN.L,ABN.AS,ACA.PA,AGN.AS,AJB.L,ALLFG.AS,ALV.DE,ASHM.L,AT1.DE,AV.L,AZM.MI,BALD-B.ST,BAMI.MI,BARC.L,BBOX.L,BBVA.MC,BEZ.L,BLND.L,BMED.MI,BNP.PA,BPE.MI,BPT.L,CABK.MC,CAST.ST,CBG.L,CBK.DE,CHRY.L,COL.MC,CORE-B.ST,CREI.L,CS.PA,CSN.L,DBK.DE,EMG.L,EQT.ST,ESP.L,FABG.ST,FBK.MI,FCH.L,FOXT.L,G.MI,GLE.PA,GPE.L,GRI.L,GROW.L,HSBA.L,HSX.L,ICG.L,III.L,INGA.AS,INTRUM.ST,INVE-B.ST,INVP.L,IPO.L,ISP.MI,IWG.L,JUP.L,KINV-B.ST,LAND.L,LGEN.L,LI.PA,LLOY.L,LMP.L,LOGI-B.ST,LSEG.L,MAP.MC,MRL.MC,N91.L,NDA-FI.HE,NDA-SE.ST,NN.AS,NRR.L,NWG.L,OSB.L,PCTN.L,PHNX.L,PHP.L,PRSR.L,PRU.L,QLT.L,SAB.MC,SAN.MC,SDR.L,SEB-A.ST,SGRO.L,SHB-A.ST,SHC.L,SOHO.L,SRE.L,SREI.L,SREN.SW,SSIT.L,STJ.L,STOR-B.ST,SUPR.L,SWED-A.ST,TCAP.L,THRL.L,UBSG.SW,UCG.MI,UNI.MC,UTG.L,VEFAB.ST,VNA.DE,WALL-B.ST,YCA.L
2019-07-31,-0.0009026865093802437,0.003748387786850991,-0.0010485596844702115,0.0004093385204333904,0.0012927476767728384,0.0,-0.0005241391935683342,-1.904136084898578e-05,0.006247191294795907,-0.0005529244519793554,-0.002717726226163799,0.004045204384663817,-0.0021868936408519415,-0.00423460468800415,0.001775920489086531,-0.0016022953088378653,0.0026016306309598488,0.0016648418942232068,-0.0008651225125269772,-0.003117113162723978,-0.001968143344618051,0.0,0.002460522048840592,0.0043535017366373085,0.00016814698563719023,-0.003058239479583725,-0.000508657086606373,0.006670789386659236,0.002123898577805912,-0.00016773415870979862,0.0016461852007821918,0.003823198058154533,-0.002407513122998659,-0.001399454371586406,0.0,0.0008301800892503448,0.004213274414675656,0.0026694173252255473,0.0031314595717063546,0.0011950407071725268,0.0018150959136249334,-0.0012147936501217557,0.0014729474414405135,0.0013067129058896806,0.004475680655585557,-0.0024210410302120447,0.0009197484301793327,0.0032685829592440886,-0.0010315949572849562,-0.0015606734599140377,-0.0010554760032640534,0.0028082716523671523,-0.005584243790316098,-0.0019201030409821472,-0.0019338345240037264,0.003868571876913683,0.0025567376353869934,0.0035140862094903374,0.001751618070455428,-0.0016026199484816905,0.0015056707603186932,-0.004621127765394486,-3.7341640138485385e-06,0.0,0.0008268377736414222,-0.0001971517330534214,0.00475556384556954,0.0,-0.000728797928097476,-0.0035093954382968166,0.00023594711215300457,-0.0038534325022022485,-0.0016940121614942433,-0.0011040363573290076,-0.0007086248516970686,0.0005626962940694111,0.0013181814137639897,-0.0005048717019854862,-0.0024281124644265186,-0.0038438260584760546,0.0015665012307280427,0.00032887328729323513,0.0002678233579937875,-0.0017814552666110999,0.003410487377846617,0.000652186111401192,0.002243718503322093,-0.0016801272940394076,0.0002967423723315237,4.86454988289161e-05,0.0006441160372690105,0.0,-0.0012124636975616482,0.0,-0.00018593691793711205,0.001117985651305987,0.0038015362536082953,-0.002269461967196401,-0.0007400265487016169,-0.003081154641233004,0.0032833927559803525,0.004436108690783674,0.0,0.0012593970717439868,0.003308451013179615,0.00415681033375883
2019-08-31,-0.0011386389332751763,0.003763213488625796,-0.0013475942353238133,-8.583845595465416e-05,0.001172706400280006,0.0,-0.0004950909331546289,0.0003961516849660679,0.0061705517762325,-0.0008347968760727677,-0.0032624252324325335,0.004610245539758049,-0.0037871058510473414,-0.004780862314427538,0.0020451824777317587,-0.0016607367502765795,0.0024176078374143024,0.001732831935574482,-0.0010589773150152834,-0.0030971486551276857,-0.0025145980705156908,0.0,0.0018028057103084546,0.00465755075914099,9.81064205519524e-05,-0.0036105807600385893,-0.00043188223958864197,0.006622183660344261,0.004433231901559415,-0.0009786062403577523,0.0011113822581959995,0.0037178565805531527,-0.0031336882543367135,-0.0016111547533194453,0.0,0.0006123708729759685,0.004317240565089877,0.0017849783762120708,0.002271026561369618,0.0007672644514047622,0.0015383445598686329,-0.0013122708271225997,0.0014467829973568167,0.0017703828995874295,0.004731852392065426,-0.0025679200551170303,0.00111638550596887,0.0036320093167156926,-0.0005084678831014683,-0.0015972150364401225,0.0002273097713476938,0.0033599985573345152,-0.004391860331579599,-0.0023954846766170847,-0.003052329935077403,0.0047355352327571225,0.0024814140882513797,0.004136244652186827,0.0017376999386515444,-0.0015065863011418197,0.0018715582921824936,-0.004640218857631608,0.00018319463061598654,0.0,0.0010243851346944197,-0.0010748024151798377,0.004838469381743633,0.0,-0.0012578501133372858,-0.004123013669216773,9.053421602341858e-05,-0.0036961711756757095,-0.0012290232496071395,0.0003665438474633703,-0.0014245292249834146,0.0008055664349929863,0.0014516320533143909,-0.0005408014332077741,-0.0018719225297407765,-0.0034946996860623415,0.0014127410739298968,-0.00018907743756252436,-1.8119706165980326e-05,-0.001831329837000849,0.0034765877755864407,0.000838469823066734,0.002013672211950081,-0.0017358207215923546,0.00026750015950534507,-0.0006242932080649812,-0.0008134451129897502,0.0,-0.0010721118477674944,0.0,-0.0001357171837700795,0.0010312913997210984,0.003906140594788671,-0.0018143865593129426,-0.0011477911533395477,-0.004236881948647598,0.0026729498187400775,0.0040282205169474275,0.0,0.003066091684525344,0.0035126613921426203,0.00447847832688105
2019-09-30,-0.0010802175922542151,0.0036275991222123384,-0.001454240309599686,4.799656054990653e-06,0.001158867691072025,0.0,-0.0005299577353993752,0.0010667556557304022,0.006680279512405079,-0.0005517439388729914,-0.003105855421662189,0.005366472137069594,-0.004635260282762434,-0.004987232330067115,0.0020805470548709197,-0.001969858703862223,0.00287160624240045,0.0016839862818255414,-0.0011881137528444612,-0.0031272977488239926,-0.0032088355155820104,0.0,0.001396120716197643,0.005429345418499992,0.0005333461205442333,-0.003487807225725742,-0.000496524802638504,0.006610022570183595,0.0050948292393112014,-0.0009114423831656998,0.000948606205845535,0.003939251500009392,-0.005025814647090661,-0.0014990088234191458,0.0006299644061906649,0.0008573244932597708,0.004649095433661997,0.0021343507209661268,0.0020935529006653655,0.0007730316830208742,0.001768544365968602,-0.0010914552432791322,0.001336524929965727,0.0017885897081326453,0.0053825378149668715,-0.002649693029670043,0.001488502120830676,0.0032583857474017845,-0.0010225854392141042,-0.0018576330549074623,0.00022475177730627038,0.003427442923648042,-0.0043069503660453845,-0.0015258843414413157,-0.0034875529282300376,0.0046843116178488155,0.002569676217267296,0.003995800041343038,0.0012905896823348188,-0.0016250058144758757,0.00200925326061328,-0.004523724318744772,0.00023753247241935596,0.0,0.001309201470880996,-0.0018473413947338476,0.004474168145283275,0.0,-0.001194705299325907,-0.004159356334067722,6.843371617022665e-06,-0.0035965142499827796,-0.0017131603339470868,0.001419393225105053,-0.0014970509651345207,0.0008091723506801908,0.0012921872521969074,-0.0007085949396268165,-0.0013609666016350804,-0.0037614828690048937,0.0008912279580242692,-0.00015402000710840357,0.00012153529668907615,-0.0018976803720846447,0.0031289686929098703,0.0007254408171714032,0.002280506103248112,-0.001840470941119606,0.0003203164133435722,-0.0002648437382906043,-0.0009754113094164404,0.0,-0.0006454493594359014,0.0,-0.0001624407574072575,0.0012669958581505135,0.004264432033224203,-0.001665600433339273,-0.0013677703647606038,-0.004693059472837234,0.002768656082210991,0.003962874694552854,0.0,0.003416752260639811,0.0037632630604545686,0.00482191641058355
2019-10-31,-0.0011820406696085094,0.003623554038738421,-0.0011004353068190629,1.765853621503075e-05,0.00022774250677389202,0.0,-0.0007276676411078403,0.00018087290262756546,0.0074133341076774405,-0.0003344231201450182,-0.0032181057848718847,0.004767789672900751,-0.0037547881645726713,-0.004776279518667939,0.0018527885095551005,-0.0016052125758396207,0.0023794635604445133,0.0018812519065910752,-0.0005208757257608944,-0.0023560393585442298,-0.0024124826366672732,0.0,0.002471889356364651,0.0053105361197253245,0.0004962106317278385,-0.0030576838542182216,-0.00039670639095414485,0.0067504397525943735,0.005706313284794769,-0.0010755585774479466,0.001126314993490012,0.003616251790409669,-0.005054442913066401,-0.0023009727286318876,0.0009020487740757398,0.00042401646782251335,0.004453277427394249,0.003016249282731783,0.0007890775531323026,0.0005164315469671928,0.0019660056456270287,-0.0007225091323595505,0.0015395147683775433,0.0016308726045236891,0.00520885290085238,-0.0024415194952164265,0.001904703077011949,0.0034337904852837164,-0.0014334384667445367,-0.0017186105447353347,-3.626345273210455e-05,0.003493596991398649,-0.0053458761792310235,-0.0004238967009842702,-0.0024830830091468054,0.004561374045404433,0.0023556880550977604,0.004143086835426319,0.0012549590858843226,-0.0011187326771647482,0.002147149079220419,-0.004546501735679211,0.0004137729987689755,0.0,0.0008321164380951254,-0.0032407798668596345,0.005074785893995695,0.0,-0.0008572258159299696,-0.0036207986368105996,-9.536981825092566e-06,-0.003615598256392941,-0.0009371550005788953,0.0014788161589263593,-0.0016163443383014264,0.0013195603570129843,0.0018132318899255425,0.0006164317912559315,-0.0009333012759717792,-0.003939028688126631,0.0006360144312608819,-0.0006783804299298789,0.00038636866053890623,-0.0014777453103206578,0.003078585964593519,0.0014063892059396187,0.002083834193110823,-0.0016217824322680872,-5.370706303980347e-06,1.4154342397498917e-05,-0.0008951969273896281,0.0,0.00034126516817486216,0.0,-0.00018623454173232297,0.0017569762314539055,0.003911731901415369,-0.001295123232783304,-0.0009063637727071633,-0.003686715029972503,0.0033922778084261858,0.00441776933323841,0.0,0.0030504742180492168,0.0036072350028805845,0.0043951864994514565
2019-11-30,-0.001230737490227102,0.002769318803483566,-0.001217937620914461,-0.00018781860582434693,0.00027113262325789445,0.0,-0.0007842302224793354,0.0003606413257657839,0.007277243745778041,-4.264602191421022e-06,-0.003912379739591295,0.004951790325536425,-0.00492462625641751,-0.005125125157823818,0.001701203625265739,-0.0018954032584721648,0.0024892111649322942,0.002145051714320659,-0.0009091425306796007,-0.002641273261691576,-0.0027609906897041094,0.0,0.002249265371329782,0.005126970631915067,0.00028561187994612786,-0.00379510002497198,-0.0004982820315952564,0.0069567863394677226,0.00586963915663291,-0.0011301206187004727,0.0008152945805113822,0.003489402313835821,-0.00575298936993983,-0.0018022833066958814,0.001669090241764,3.927601526022747e-05,0.004426103615624504,0.0022334862169811915,0.0011948041886566565,-0.0002406581094733973,0.0012738989068597061,-0.0011050685029960845,0.0014367191989221539,0.0011695841102778845,0.0056755359413895555,-0.0027089657184996697,0.0023400318868374392,0.003911099512608282,-0.002218330322040724,-0.0022705155886114468,0.000352552523354747,0.0033132262439357525,-0.0054558993612675005,0.0003410227970037621,-0.0033558233814244714,0.004442638355143158,0.0023479595252254336,0.003979601721988342,0.0013363410817568782,-0.0009727084789138386,0.0022985433366129473,-0.004963881232255794,0.0006527558802471823,0.0,0.0010464946525070799,-0.00339945257927303,0.005293688173017227,0.0,-0.0014177270381192462,-0.004246168210459141,-4.452416476367731e-05,-0.0038650790611620524,-0.0009053826299052068,0.002049140149603594,-0.0015532220298577384,0.0015680576992324678,0.00186665980060001,0.0006006380153424554,-0.0012281543030216663,-0.003975515305550334,-8.080229334371411e-05,-0.0010909668803527274,0.0004869410239546982,-0.0016563089085959268,0.003215815052703626,0.0008752485115862776,0.0021923788401383678,-0.0016802162236287544,1.1862015501258334e-05,0.00034746449956610216,-0.0009756497602136921,0.0,0.0002797564940430035,0.0,-0.0001860667672184285,0.0014665073121030638,0.003746461690723164,-0.0009371810798546296,-0.001669929241372762,-0.004812354061194873,0.003676072227543422,0.004637441919227564,0.0,0.0033094349679711477,0.0040246230876154875,0.004400142062285409
2019-12-31,-0.00177566871629008,0.003174129275924761,-0.001463716036155761,-0.0004909221055951717,2.9206531898710126e-06,0.0,-0.0009665562701459201,0.00035204704888200985,0.007456234417810469,-0.00013725970229051923,-0.0038546457058047517,0.0038017753568396285,-0.004975957384079488,-0.005335906463039222,0.0011207725808768283,-0.0017108789810062147,0.002018669798478476,0.0023265729069406756,-0.0005767073331438657,-0.0030004029274542606,-0.0026128225898769428,0.0,0.0026185297132850886,0.004541386754862872,4.05622552208256e-05,-0.0041039883600793164,-0.00048215427410537234,0.007056701168455368,0.005982215845538723,-0.0016230289555922146,0.000724331267170847,0.003985515996436307,-0.006042171091459281,-0.002273886133728349,0.0017278204242274847,-9.88889309836401e-05,0.0040001540942138925,0.0025427823571611986,0.0007243878984066138,0.00022960571766740242,0.0012796911246199286,-0.0013849543748144,0.0009393469638082903,0.0010807644359669888,0.0054996543457502475,-0.003214230932094755,0.0026434017971447735,0.0035056478699244135,-0.0025780848015612753,-0.0025106417097153005,0.000387395452659001,0.0035863627729028043,-0.005965129970319285,-0.00029780724934836984,-0.0033690464002684023,0.004310209495036202,0.002329962809455876,0.004386744639345501,0.00110015567761587,-0.0009751974118005183,0.0021419208361558744,-0.0049326914006045395,0.00019757728400298215,0.0,0.00014513689010692304,-0.00381215938201207,0.00553541064908696,0.0,-0.0012073576542161672,-0.0038203223136909163,-0.0003725343384797348,-0.004227684582425412,-0.0010346568656079314,0.0018742183033010496,-0.0018177168880556447,0.0014312257934038595,0.0015467483519239563,0.000993599346224873,-0.0015585293265282596,-0.004010039893696313,-8.777790086488598e-06,-0.0014195461260198743,0.00018540522209341227,-0.0014317838313583863,0.003049153204186082,0.0010979288175360334,0.001921365664002231,-0.0019092420169043501,0.00025380473336086276,-2.6621086190072442e-05,-0.0008933728645327103,0.0,0.00045340513496302257,0.0,-0.00018939744135430293,0.0014158398181294022,0.002207351833409132,-0.001214240401399364,-0.0012798525897872563,-0.004923305024893616,0.004204750928307331,0.004367229969367162,0.0,0.0030956860047862424,0.0034936353902839056,0.005107646975734972
2020-01-31,-0.002273068639040053,0.003199338870669115,-0.0015570484532135601,-0.0007578083251718497,-0.0001493612615643852,0.0,-0.0007768758604512983,-0.000635960651891314,0.006872027337187073,-0.0004321429926625118,-0.004375264730527704,0.003585658711167187,-0.004980290199889994,-0.005517020691783266,0.000838655441040424,-0.0016442718024388455,0.0016359222882556417,0.0011823946038842337,-0.0015800264014434995,-0.0029005456881774786,-0.003258477508580145,0.0,0.002942595056206908,0.004273717273117783,-0.0010423389729290297,-0.003906835290113743,-7.191805984690502e-05,0.006502281827558249,0.006194262064472615,-0.0015485771122709323,0.0007991366904534394,0.003865963624182533,-0.005633304596816436,-0.0033002608772843716,0.0019471080749585003,-0.0005136697775791207,0.0035475683196801696,0.0016967846645787347,0.0003378407026416166,0.0016759503166707914,0.0011401240008043652,-0.0006616521134345574,0.000661437403021072,0.00036622090805212015,0.0055780388760969,-0.003709087378287539,0.002465948138470644,0.00400908970542792,-0.0033147074970434416,-0.0028608411753457,0.0014752921972531181,0.003532647344398187,-0.007119018562789077,0.00024962399648585654,-0.0034914641575764993,0.0036035938351191912,0.0015158400590666388,0.004929597817863828,0.0004801967975899868,-0.0007934015755506221,0.001082449205094968,-0.005623958507596321,4.622002605424863e-05,0.0,-0.0005708202916695963,-0.004250345811082011,0.005558568872227309,0.0,-0.0009762467698338552,-0.0033180348041415876,-0.0006023184974076847,-0.004766572320239785,-0.0009822915278719546,0.0006257039639068575,-0.0016677351582074906,0.0010646578947315756,0.0012391838147061615,0.0008992982764264348,-0.001595249153633219,-0.004425711872021654,-0.00439117434130884,-0.0020695866755528463,-0.0005198407865807265,-0.0012392374484053504,0.0029388200304476093,0.001552697585393711,0.0014285244076179151,-0.0019265687296428366,-2.8777049155679323e-05,0.00021315398260031754,-0.0008879838479005509,0.0,-4.035802097048435e-05,0.0,-0.0002602305363932818,0.002359613557147424,0.0018034109095257634,-0.0009662898487725009,-0.0010797946392074377,-0.004411353030587852,0.003508333585206285,0.003684413901995258,0.0,0.0028236848629564527,0.0035903480370117436,0.004829103262399194
2020-02-29,-0.004002504347425431,-0.0004129531224986602,-0.00429378470026392,-0.0035626363472464036,-0.0010528750566416007,0.0,-0.0030086950220045068,-0.0028272848371982302,0.003792533795578026,-0.001796623758818938,-0.00461155919586399,-0.00010745531616815959,-0.006988490699794777,-0.007645005909622047,-0.00023585199492478674,-0.003978599247393043,0.0016535820540364882,0.000448667410670544,-0.0027482939065790117,-0.004759057383051769,-0.0055192108267300075,0.0,-0.00016680956837341105,0.0014197103774158141,-0.0025339038028510856,-0.006488184272036143,-0.0032769021720410138,0.005275143698514251,0.0020627662272149736,-0.002597976812181348,-0.0012267051036680653,0.002631181937456821,-0.008678458963968749,-0.0024558859061229433,0.00070347807684936,-0.0019406444217455602,6.799425494719621e-05,9.18958218444831e-05,-0.00017363686818288107,0.0038889467879331934,-0.0003950707652887111,-0.003134309323804192,-0.0016862656925878273,-0.0023744825002121515,0.0009960725701950513,-0.003993647842514623,0.0003072150714618,0.0012919945178282023,-0.004515565459854335,-0.0041922911415858514,-0.0002976363973367786,0.001322476078686924,-0.010062531809999681,-0.004698142262876555,-0.00513499763200188,-0.0018247466335306552,-0.002576654737495257,0.002633044778238738,-0.0015305111896481123,-0.0026581326604622857,-0.0007231198891518905,-0.005736178574670585,-0.0009721954977071741,0.0,-0.0016513819880294095,-0.005812459803974525,0.003211656690006279,0.0,-0.002732101289118265,-0.005441722384769277,-0.0036659002056899925,-0.006995605394254952,-0.0026566283550623787,0.0006272444919487881,-0.0017941284899078908,-0.0004735124365056691,-0.0003504860012842392,0.0007308737078257118,-0.0033371807625862853,-0.006209671407876936,-0.005213191829124566,-0.0036172213463024467,-0.0028947481926178556,-0.003734770294818341,0.000792643504273562,-0.0008449261197657405,-0.000988924838044796,-0.00407381904346626,-0.0022907812983201823,-0.0022257191510489677,-0.0022416429053828558,0.0,-0.0007970663410289218,0.0,-0.0009638417104187421,0.0006837719264784715,0.0006505825434259596,-0.0030998096994604815,-0.0031212842826708813,-0.00654583139947696,0.0006521571854337172,0.0010598127368105516,0.0,0.0002735428300060538,0.0007988119954617711,0.0027160038181280217
2020-03-31,-0.003966339368818696,0.0002726471542333002,-0.0043025391968235455,-0.0036541106789946117,-0.0012209852458021392,0.0,-0.0021636870506034794,-0.002028812836129123,0.003243684114954078,-0.0018567055232352843,-0.004000122976600218,0.00012165433869549018,-0.007647083360203898,-0.007640247597835226,-0.00010729709619018517,-0.0035695522058556157,0.0014968028214518263,0.0003374866882137343,-0.002752166171076297,-0.005079816782842101,-0.004451876946737996,0.0,0.0006962663676375758,0.0016015241580269546,-0.0020113126821303747,-0.0061765486911665,-0.002972397026413523,0.0063716328626921455,0.0035588466072026754,-0.002482950234853975,-0.0005599032553501365,0.0025103181167950793,-0.0076886761930544355,-0.0019555339586500805,0.002063272947687436,-0.0009669799447601334,0.0004467257425531815,-0.00025774351349576273,0.0007025545208203815,0.004332541625186098,-0.00049203829228339,-0.003149271025413087,-0.0008269353845355135,-0.0020262687456883265,0.001537349021354459,-0.004136362213207739,0.0005557679716062679,0.00174986296630556,-0.004114655888122627,-0.005107139668921035,-0.0003021973177345285,0.0016447820571355285,-0.007046783291402016,-0.005063429598920895,-0.004529611913093466,-0.0005705957326920364,-0.002973021233204891,0.00299344678285809,-0.0017282288933282612,-0.0025236278545048064,-0.0016563633089477794,-0.006695147801758096,5.513397425674718e-05,0.0,-0.0023822103191992613,-0.005741905497598156,0.0034866515491736912,0.0006725710271967679,-0.0017335654572162896,-0.004507193831640742,-0.0033132819127009274,-0.006265939298443461,-0.003264321444268175,0.000753630439293402,0.002478865464054518,0.0002755153680980007,0.0002416975433399579,0.0013614064305884901,-0.0026753678470569087,-0.005683112867524362,-0.004344344804140327,-0.003349983287334994,-0.003123897895258335,-0.0033367460266344783,0.0010168002620674623,0.0001106616172762469,-0.00013730817696016158,-0.0033565058274838766,0.0007459912305132835,0.0007133207550991832,-0.000901395584856411,0.0,-0.0008393592555273907,0.0,-0.0001251101402426769,0.0012123756201184114,0.0016498567437266038,-0.0025772846708514595,-0.003098315501049591,-0.006975055330243008,0.00030664381881926906,0.001274048218507822,0.0,0.00013495339935263488,0.0007346001409478002,0.0029088707868790836
2020-04-30,-0.00635464318962353,-0.0019354629816765306,-0.006009274722166685,-0.005189031430973954,-0.0010093417749784924,0.0,-0.002957836666259662,-0.0031720023307823535,0.0024031587360736897,-0.0037219843440606296,-0.004974355333859371,0.0006941332828863328,-0.008904098582477983,-0.007583091715904116,-0.0011122384740254749,-0.00489804102303755,0.0008750403580949807,-0.0007151857280064582,-0.004328696781789728,-0.0067359471720599435,-0.006446541025497344,0.0,-0.0012726962330302447,0.0028052811672152765,-0.0033071129256187085,-0.008560871635289255,-0.0030279051979317014,0.0060715701316670645,0.003215542527840202,-0.0024040570292330797,-0.001422422605966061,0.0016809507640855384,-0.008518431600517807,-0.002658650409232144,0.003081304692804904,-0.0009139579505864294,0.0015183516625353484,-0.0009198754365285597,-0.0017103189986883067,0.003958837042259654,-0.001037067793519828,-0.005669045293365436,-0.001598152972587601,-0.0029547124874490676,-0.0009110518490432497,-0.005198247393600048,0.00035583659878160183,0.0009860871221460416,-0.005368109574404124,-0.00699857405847206,-0.0014062642980161813,0.0012207045436573064,-0.00942365128382305,-0.004612688458012096,-0.005639137101039004,-0.00028200380484859973,-0.0050369883591987,0.003147086676864787,-0.0028525170159876974,-0.0042892033980271,-0.0012982394886236846,-0.008980697219180373,-0.0007180704005669309,0.0,-0.0028258229558390194,-0.005703792015957364,0.005201142921936574,-0.00033966818256377606,-0.0033139276574286934,-0.005821863853121887,-0.004001787944302566,-0.006356869973175418,-0.006909408890067454,-0.0009780900910829787,0.0011378379498192528,-0.0010177205258638383,-0.0005101577879113896,0.0013329293295504998,-0.0035274746019687934,-0.006662376602007916,-0.003824385099233273,-0.00523960465667427,-0.004622391624607506,-0.003220955684357319,0.0009710973938051382,-0.0011664578403028322,-0.0008621219994301798,-0.003944400312732923,0.000670991359814035,-0.0005058544824373442,-0.002335936385794335,0.0,-0.003118653243106082,0.0,-0.0005367445686309947,0.0005174063799993031,0.00033011523393216245,-0.0037649432231026195,-0.0048008673027666905,-0.008234651010489247,-0.00017799278529175504,0.001137692536482994,0.0,0.0011372735539180484,0.0003576860326847108,0.0025660311206773577
2020-05-31,-0.006617168951353566,-0.002307775113276297,-0.006124462241292418,-0.005923578261617561,-0.0005743452582573587,0.0,-0.0033666156801917054,-0.0032498959831190606,0.001710825592786229,-0.0045889278290341595,-0.0046944141715059475,0.0003777749202848919,-0.008528773858009386,-0.008655898896595094,-0.0016796182047725558,-0.005163068898137586,0.00037229239954066556,-0.0002952980286410862,-0.004619435176303399,-0.007038662669012029,-0.006330947120332375,0.0,-0.0022377030187440724,0.002603535249292679,-0.0036569229262556797,-0.009973059566394795,-0.003541910878507687,0.0055877868215001274,0.002688184575385588,-0.0024225183007252054,-0.0019855568131666177,0.0014591120931017345,-0.008170127669375768,-0.0030212763371200084,0.003432185817286083,-0.0004454061646710346,0.001534575271785991,-0.0012834440412677337,-0.001005557748003916,0.0035696601490620285,-0.0017406864226684874,-0.0063074196855191465,-0.0015641670763037504,-0.002735592119643677,-0.0009504849720963442,-0.0057820250285387014,-0.0002832957411575466,0.0005688806199462633,-0.005888312203774879,-0.0075323355583122595,-0.0012079556676028208,0.0010529490697449384,-0.011073896482239083,-0.004823690105758503,-0.005728164163193659,-0.000646408426439926,-0.0050803812751267705,0.0025365329583868592,-0.0026877899122167773,-0.00502917125743524,-0.0019368850591177668,-0.009482945736963844,-0.0013508938417254256,0.0,-0.003178897224874094,-0.0066502016745159116,0.004943617778151313,-0.0008889666612211547,-0.0033358787142457914,-0.005845707238715532,-0.004183258596043431,-0.0071087418459869385,-0.007788758331204221,-0.00034134250767044785,0.0009260678637638261,-0.0011733456179443182,-0.0006884432655181363,0.0018950309872027722,-0.004060599550195372,-0.007350235899613126,-0.005369783208598463,-0.005824262204126883,-0.004794614217605036,-0.0033675929822856708,0.00045241905435388236,-0.0014921864803933479,5.7955693860304116e-05,-0.0039977770494263026,0.0008153653932412583,-0.0010505262160417817,-0.002919295136684847,0.0,-0.003353898817083576,0.0,-0.0006373891930018896,0.00016810412723938854,0.0004576999670180611,-0.003732268201439817,-0.004671868191873516,-0.007866650187940548,-0.000465761301001484,0.0008170441094725924,0.0,0.0011095408230838355,0.0009181663929095382,0.0024683870755268945
2020-06-30,-0.00649224412292004,-0.0026053641568361137,-0.00527778567067506,-0.005643058451798252,-0.0001962870583626047,0.0,-0.002820863650578229,-0.0034939981398147647,0.0018147702614002839,-0.004232121312826879,-0.004347447052255805,0.001072091235535222,-0.009166091870034974,-0.008228385020322642,-0.0010639213935580163,-0.004864566889482079,-0.000140052378011112,-0.0005508983710453846,-0.004522165481849738,-0.006477261542226412,-0.006863414046350693,0.0,-0.0019008717179602604,0.003026178745708525,-0.003853096218541551,-0.00985357869079511,-0.0024547544623150625,0.005168408598642491,0.0027601134448229027,-0.0014196015714498767,-0.001675943099384406,0.00253232268050799,-0.0071809971416369614,-0.00283950422803837,0.0048232861171752656,0.00017373016269780996,0.0023090282234904573,-0.00110843118700087,-0.0017072389407723947,0.0031820175411936048,-0.0011387416307550849,-0.005468837523151185,-0.001511276324020304,-0.002223743686035064,-0.000541563536059893,-0.006100370253231388,-0.0002762451661995171,-1.0295031979219629e-06,-0.006306532515297666,-0.0076308577887327445,-0.0012598453280261096,0.0009416032168397639,-0.011077463318038376,-0.003854381836162977,-0.005666134341219509,-0.00030878642068177687,-0.005514937375958056,0.0021831674713583037,-0.0025989891576146344,-0.004558391929294257,-0.001581127676121427,-0.009113152086352508,-0.0007968135944938208,0.0,-0.00323417738631962,-0.006725754027240661,0.0038383630020809704,-0.0009503021495090266,-0.0032491270531504065,-0.00563712826654847,-0.003985150362374462,-0.008939425258130363,-0.006969069515548026,0.0006588610149014078,0.0013829118567256125,-0.0010739465542644034,-0.0003106930419297426,0.0022527277579021334,-0.0034263973082595297,-0.007005838242731704,-0.006182278011554705,-0.005636400005773705,-0.00499310271718202,-0.003187417322645792,0.0003365701303057314,-0.002058915103463813,-0.000642531352514229,-0.004337900919417989,0.001684256921089128,-0.0009834192904436163,-0.0023194936978917866,0.0,-0.0037751757258536692,0.0,-0.00043939228673305856,8.985871306775754e-05,0.000858013556669885,-0.0032428338702085147,-0.0041059021410654465,-0.007629081560600909,-0.0011946893311894835,0.0016636379609216321,0.0,0.0013917861111370066,0.0016020297766963251,0.003769915445818135
