Date,ABDN.L,ABN.AS,ACA.PA,AGN.AS,AJB.L,ALLFG.AS,ALV.DE,ASHM.L,AT1.DE,AV.L,AZM.MI,BALD-B.ST,BAMI.MI,BARC.L,BBOX.L,BBVA.MC,BEZ.L,BLND.L,BMED.MI,BNP.PA,BPE.MI,BPT.L,CABK.MC,CAST.ST,CBG.L,CBK.DE,CHRY.L,COL.MC,CORE-B.ST,CREI.L,CS.PA,CSN.L,DBK.DE,EMG.L,EQT.ST,ESP.L,FABG.ST,FBK.MI,FCH.L,FOXT.L,G.MI,GLE.PA,GPE.L,GRI.L,GROW.L,HSBA.L,HSX.L,ICG.L,III.L,INGA.AS,INTRUM.ST,INVE-B.ST,INVP.L,IPO.L,ISP.MI,IWG.L,JUP.L,KINV-B.ST,LAND.L,LGEN.L,LI.PA,LLOY.L,LMP.L,LOGI-B.ST,LSEG.L,MAP.MC,MRL.MC,N91.L,NDA-FI.HE,NDA-SE.ST,NN.AS,NRR.L,NWG.L,OSB.L,PCTN.L,PHNX.L,PHP.L,PRSR.L,PRU.L,QLT.L,SAB.MC,SAN.MC,SDR.L,SEB-A.ST,SGRO.L,SHB-A.ST,SHC.L,SOHO.L,SRE.L,SREI.L,SREN.SW,SSIT.L,STJ.L,STOR-B.ST,SUPR.L,SWED-A.ST,TCAP.L,THRL.L,UBSG.SW,UCG.MI,UNI.MC,UTG.L,VEFAB.ST,VNA.DE,WALL-B.ST,YCA.L
2016-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,-0.3040917972720704,-0.06716457899968947,-0.11059189403546546,-0.32485096727710494,0.0,0.0,-0.13991720309747946,-0.11119058422104316,0.06488624560424747,-0.27184974466244644,-0.1226320415031082,0.007893433319146992,0.31378887667727684,-0.451290776059122,0.040057041619191325,-0.13825161459059737,0.004668269646725676,-0.12456185434522365,0.05727846270942777,-0.20490449388452955,-0.05173700102279036,0.0,-0.03238722640970344,0.06678923295957703,-0.10652503950985004,-0.21739743656390687,0.0,-0.10316180968034691,0.0,-0.00514977086691458,-0.3090079434038989,-0.1543318850060703,-0.15289903058596221,0.025411112112686096,0.0,-0.041786006466237986,-0.03513537678485766,-0.2253250227482352,0.0,-0.3257050251862566,-0.3111428876304919,-0.19444687745864264,-0.14882137256607836,-0.15581878463556684,-0.004974183578008423,-0.3472690226968208,-0.10801422972160568,-0.231583823369921,-0.045445834603813684,-0.04239604248416268,-0.21258939863204196,-0.05285433295033663,-0.1285799407528991,-0.3931250013712191,-0.2214737451948015,-0.25503479277524504,-0.21782649056420683,0.06833183249725487,-0.10174596030567977,-0.33543762140075767,-0.193361084005733,-0.24281708786215989,-0.15072995580864113,0.0,-0.24675872654247374,-0.06070851440762473,0.050454349658198894,0.0,0.0021441193676709023,-0.06349413942793297,-0.2417002364582609,-0.09493704934638528,-0.4748909127888423,-0.025066276793121678,0.04413797211430545,-0.13785777865169646,0.10902430768752157,0.0,-0.419169576415989,0.0,-0.27996747401700195,-0.09627008154283363,-0.17235304687193936,-0.07014623922083542,-0.16885350327167373,-0.08417001213205091,-0.11382812376879962,0.0,-0.04374159323051495,-0.09010179204653057,-0.16194245182605183,0.0,-0.35900948165708985,0.0,0.0,-0.08750178408795936,-0.1498589173673765,-0.020094414253227614,-0.14164486002592683,-0.25524693899026146,0.0,-0.11026841982219823,0.0,-0.10833922319923732,-0.01841166486527331,0.0
2017-02-28,-0.28862049694485936,-0.0817147494393178,-0.1284483015589556,-0.2912580891172499,0.0,0.0,-0.12964225369334204,-0.09824204610982668,0.032158751826955496,-0.1979671149199545,-0.06848258897714664,0.01487413600472949,0.2140722798591812,-0.3839401659299754,0.014734743386145548,-0.14690170623981963,-0.003999348768063904,-0.14350295826674553,0.049694504062351263,-0.2053301692852937,-0.026006187124300306,0.0,-0.0742857944578725,0.07426895885821867,-0.13620095833967136,-0.22017259620804647,0.0,-0.08119184405066349,0.0,0.010400513280274984,-0.2851443732772916,-0.1325472165273024,-0.16584601216919953,-0.00716205779307888,0.0,-0.06385631627072708,-0.030054523275895643,-0.2096473783562863,0.0,-0.2629386551476271,-0.20465560457659668,-0.1978543081275009,-0.15485652837174538,-0.14720893574837512,-0.0036881427313652376,-0.3046583991029588,-0.13772072210281724,-0.20627652632667332,-0.04025938922904468,-0.050669230265490695,-0.19296347521241378,-0.0528939206341678,-0.11630546929792049,-0.3039908309020381,-0.19334724534056788,-0.4869997908848835,-0.2071561239912038,0.060431736393390764,-0.11068019956654586,-0.29871902524050986,-0.1497921414813346,-0.17537249297628763,-0.14732739080830468,0.0,-0.19659183163029476,-0.08618354259049024,0.08441203730611392,0.0,-0.004173998481619403,-0.05780136514776822,-0.2309128842073268,-0.11653118379882847,-0.4702631352406582,0.0004573685239747105,0.029987129641464993,-0.1130742717915865,0.06452946806283061,0.0,-0.33940894327586457,0.0,-0.2323909377205421,-0.13470773449916298,-0.19561709337363922,-0.06135736884427963,-0.14976932768408957,-0.06476262682592626,-0.07681120380012152,0.0,-0.05429422117838438,-0.10461285298584781,-0.1271613846354849,0.0,-0.2043659321741004,0.0,0.0,-0.07275126986510469,-0.08434522881547732,-0.017939835755615453,-0.1276602764407444,-0.2708429866426507,0.0,-0.10566883607057284,0.0,-0.06766677414788291,-0.03049245450440754,0.0
2017-03-31,-0.286875291720376,-0.09674597927878316,-0.14049656706823044,-0.3455035761340375,0.0,0.0,-0.10763503393330723,-0.10329221974776742,0.23230025791085132,-0.2180284764953383,-0.04858613686732124,0.08392181623282158,-0.18234517419911195,-0.45217626181887355,0.06583688867796716,-0.1296148520961624,0.03401874784680223,-0.04811632317071936,0.057395326703235966,-0.19796800786099988,-0.13495581443288746,0.0,-0.17484845724804676,0.06676505963486792,-0.1805117766136506,-0.30567782107309743,0.0,-0.027992496616630183,0.0,0.0013306269106577312,-0.2568560259832588,-0.21009926325694328,-0.18523981113418583,-0.05675074924312892,0.0,-0.07318966995805926,0.01869433303140073,-0.22255074303542638,0.0,-0.2175042317887086,-0.17385876646495413,-0.1950772704759991,-0.07435390777576947,-0.09998419437983505,-0.004460014635690932,-0.3154999986205588,-0.14448681024812524,-0.2096246140205107,-0.019108428717222126,-0.10311333124876759,-0.17155370159138927,-0.08116454617636255,-0.34913584629765604,-0.2881816480521971,-0.2538449336179418,-0.5161904601063663,-0.208723041685093,-0.03701605744783276,0.008704722351801586,-0.3020039278959765,-0.094745564885069,-0.20788698861815608,-0.06975766687789176,0.0,-0.16084388290741697,-0.06150724480144164,0.12712088238606212,0.0,-0.0729612547393738,-0.13872042460833695,-0.24916911956764873,-0.0964506378267721,-0.5481986908579838,0.03677252231922079,0.04769899982598179,-0.1504054709145679,0.0298106220083897,0.0,-0.3216774267560949,0.0,-0.18222673544468107,-0.1848198809319292,-0.23367568141210335,-0.11038636841549887,-0.14794173511227798,-0.11407287434669632,0.019619461494423385,0.0,-0.043713566410357854,-0.13741825300013719,-0.15564627597312863,0.0,-0.14894147610496614,0.0,0.0,-0.1465742007516658,-0.13164196229574282,0.0005830476761177622,-0.1709462080542481,-0.30619441141246795,0.0,-0.059084645554069504,0.0,-0.040843242060845705,-0.02758600471557022,0.0
2017-04-30,-0.2847180210146612,-0.09647333696365251,-0.13873806721489304,-0.34476865734371426,0.0,0.0,-0.10837548375676515,-0.10042743941487775,0.2330119124423491,-0.2217179139797717,-0.047035358800927116,0.08231605916295584,-0.17876399523733838,-0.45351201613563075,0.06631452945362776,-0.12737336142893263,0.03672504467052619,-0.04574425849766671,0.05964507463933194,-0.19116762716434094,-0.12799951319080544,0.0,-0.17242295274398187,0.06916468020098836,-0.17859419811156665,-0.30067940570058527,0.0,-0.030471723133943043,0.0,0.001572512700954723,-0.2521133703209107,-0.21139888682504543,-0.18313529882217197,-0.057222407613669174,0.0,-0.07286802346199914,0.02157960437481722,-0.22257418688540967,0.0,-0.2178963873843553,-0.1708395735776581,-0.1939153841998336,-0.06841065288291019,-0.0956645268643641,-0.004465655736362875,-0.3135278899132928,-0.141852830249044,-0.20844492592639655,-0.01711203291752733,-0.1060501662353171,-0.1689002750224517,-0.08337115652731386,-0.3484611351961078,-0.28061030782962626,-0.2514840012531049,-0.5131237014073984,-0.2073927661084367,-0.03983346968993137,0.01140085120262107,-0.30105970102274726,-0.09109829809373488,-0.20983032763962825,-0.06607747554196423,0.0,-0.16023174530039547,-0.05953458834719434,0.12705562695241412,0.0,-0.07242159841821795,-0.13872966152104788,-0.2487747552785516,-0.09639602771200745,-0.5479753890828929,0.036234414133168,0.045667135050572155,-0.14716322207843124,0.028510767573219353,0.0,-0.3232236598430703,0.0,-0.18012108298491933,-0.18513322742245525,-0.23347985923229403,-0.10954869185176158,-0.14508596158990292,-0.11356407423157378,0.02159208058546338,0.0,-0.042952086502353805,-0.13765852770589068,-0.15745652799654333,0.0,-0.14649200780821195,0.0,0.0,-0.14752957896193128,-0.1300063788735013,0.0005552404044665508,-0.17276044611888436,-0.3021051453038658,0.0,-0.05634322187368132,0.0,-0.043520940516298554,-0.02802622338980707,0.0
2017-05-31,-0.290353112141065,-0.09757868026472534,-0.14295311545917716,-0.3483669723213765,0.0,0.0,-0.10935074609038381,-0.09899345842101603,0.23201589950274198,-0.2247184602876502,-0.041206260065571695,0.08915225406557237,-0.15678216936883613,-0.45274387243116665,0.060886505349230874,-0.12340631879299269,0.035683045344533426,-0.047037403191023196,0.06369997860991566,-0.20530200475654006,-0.12256088323537948,0.0,-0.17060847899219966,0.06362206030669372,-0.1834204627117489,-0.3075334735350181,0.0,-0.011932169176938734,0.0,-0.0027481642045848187,-0.25108893984720165,-0.20430388913211434,-0.18901523463910744,-0.05316223485065802,0.0,-0.0732771201224209,0.02200142740650134,-0.22591892344911563,0.0,-0.20138384949659452,-0.17329218537683305,-0.20645263457184723,-0.06008403887995903,-0.1088761805977526,-0.0040638515625294564,-0.31317740976488084,-0.14871894476738354,-0.20644597825389688,-0.01842005146812553,-0.10489255698704125,-0.15083172939050082,-0.07951371991416442,-0.3502156311167875,-0.27480503739482387,-0.24995707659509156,-0.5216295132492401,-0.20512134817629624,-0.047418537331361754,0.014048704682530017,-0.302053857005266,-0.08848204623222726,-0.20544297776610376,-0.06658913161440262,0.0,-0.15985677196883188,-0.05872794493682766,0.12640019343780956,0.0,-0.07406240724356246,-0.13567648112886635,-0.2491488220226449,-0.0977410715469012,-0.5482345617872953,0.0374293398870402,0.04977406486958416,-0.1454827035791849,0.03349326949203942,0.0,-0.32500400017279923,0.0,-0.17137069906537378,-0.18220132576717601,-0.2413465837423465,-0.09859152669677022,-0.1379855164415499,-0.11032547701626375,0.0220989014910838,0.0,-0.04417405043203039,-0.14609702283828824,-0.15923513948238993,0.0,-0.14525290068130722,0.0,0.0,-0.14123449279509317,-0.12813406679376058,-0.00025293498615954445,-0.18036767804705894,-0.29727549492716326,0.0,-0.053664487075194625,0.0,-0.03778265935226473,-0.029100715579017774,0.0
