,first_date,last_date,n_obs,pct_missing,consecutive_na_max
TCAP.L,2013-01-03,2025-10-27,3290,0.0,0
FABG.ST,2013-01-03,2025-10-27,3290,0.0,0
HMSO.L,2013-01-03,2025-10-27,3290,0.0,0
AZM.MI,2013-01-03,2025-10-27,3290,0.0,0
PHP.L,2013-01-03,2025-10-27,3290,0.0,0
ASHM.L,2013-01-03,2025-10-27,3290,0.0,0
WALL-B.ST,2013-01-03,2025-10-27,3290,0.0,0
BPT.L,2013-01-03,2025-10-27,3290,0.0,0
IGG.L,2013-01-03,2025-10-27,3290,0.0,0
NRR.L,2013-01-03,2025-10-27,3290,0.0,0
COL.MC,2013-01-03,2025-10-27,3290,0.0,0
KINV-B.ST,2013-01-03,2025-10-27,3290,0.0,0
LOGI-B.ST,2013-01-03,2025-10-27,3290,0.0,0
ESP.L,2013-01-03,2025-10-27,3290,0.0,0
INTRUM.ST,2013-01-03,2025-10-27,3290,0.0,0
GRI.L,2013-01-03,2025-10-27,3290,0.0,0
VANQ.L,2013-01-03,2025-10-27,3290,0.0,0
SBB-B.ST,2013-01-03,2025-10-27,3290,0.0,0
JUST.L,2013-01-03,2025-10-27,3290,0.0,0
QLT.L,2013-01-03,2025-10-27,3290,0.0,0
SHC.L,2013-01-03,2025-10-27,3290,0.0,0
PCTN.L,2013-01-03,2025-10-27,3290,0.0,0
SSIT.L,2013-01-03,2025-10-27,3290,0.0,0
SOHO.L,2013-01-03,2025-10-27,3290,0.0,0
WJG.L,2013-01-03,2025-10-27,3290,0.0,0
DOXA.ST,2013-01-03,2025-10-27,3290,0.0,0
API.L,2013-01-03,2025-10-27,3290,0.0,0
LIT.L,2013-01-03,2025-10-27,3290,0.0,0
SREI.L,2013-01-03,2025-10-27,3290,0.0,0
ASLI.L,2013-01-03,2025-10-27,3290,0.0,0
VEFAB.ST,2013-01-03,2025-10-27,3290,0.0,0
ALCBI.PA,2013-01-03,2025-10-27,3290,0.0,0
FOXT.L,2013-01-03,2025-10-27,3290,0.0,0
CLI.L,2013-01-03,2025-10-27,3290,0.0,0
