,Mom_Portfolio
2015-04-30,-0.033831315705462404
2015-05-31,-0.011158396466876162
2015-06-30,-0.034689570518372674
2015-07-31,0.05391740847922992
2015-08-31,0.020570540538181137
2015-09-30,0.025077282410896004
2015-10-31,0.031914311258314676
2015-11-30,0.04109624834794563
2015-12-31,0.06411211213568402
2016-01-31,0.012663703744827991
2016-02-29,-0.007434467944034933
2016-03-31,0.013126979189340054
2016-04-30,-0.053327663048537755
2016-05-31,0.06459841899554351
2016-06-30,0.1073461329907982
2016-07-31,0.005523080945280472
2016-08-31,-0.027257806036827613
2016-09-30,0.032497402843081453
2016-10-31,-0.15123619685691278
2016-11-30,-0.016746605447789713
2016-12-31,-0.07828809086560273
2017-01-31,0.018659408915069606
2017-02-28,0.0016698302521378405
2017-03-31,-0.00672635353925225
2017-04-30,-0.015155704719968079
2017-05-31,-0.007997900248344505
2017-06-30,0.018712266163881358
2017-07-31,0.0043988049670233035
2017-08-31,-0.018250116221174607
2017-09-30,0.026617654629315902
2017-10-31,0.031170540180089388
2017-11-30,0.009863452337843907
2017-12-31,-0.041140544574890366
2018-01-31,0.06445164989549015
2018-02-28,-0.05944326485653718
2018-03-31,0.013451791191376123
2018-04-30,0.000733317846403668
2018-05-31,-0.0427993228170821
2018-06-30,0.014918610423939197
2018-07-31,-0.010502851947086552
2018-08-31,0.047207907626251426
2018-09-30,-0.003150065277102103
2018-10-31,0.05136963193930322
2018-11-30,0.003747547494235842
2018-12-31,0.051396524182717285
2019-01-31,0.048841909179094804
2019-02-28,-0.051712559507807794
2019-03-31,0.07808743020844634
2019-04-30,-0.06603638799311985
2019-05-31,0.10475039211003366
2019-06-30,0.01738548211032044
2019-07-31,0.10686728174438809
2019-08-31,0.06944933974955173
2019-09-30,-0.05753835626459627
2019-10-31,-0.0545296514647115
2019-11-30,0.03291861982445952
2019-12-31,-0.024288492307687242
2020-01-31,0.03483009388293276
2020-02-29,-0.0011297816710651011
2020-03-31,0.015237679354399566
2020-04-30,0.06667563529986492
2020-05-31,0.07750366960009669
2020-06-30,-0.06056148008085675
2020-07-31,0.04956693096439236
2020-08-31,-0.04500516446451074
2020-09-30,0.11643356158928124
2020-10-31,-0.058114096770893436
2020-11-30,-0.24014086192228828
2020-12-31,0.003083954810791086
2021-01-31,0.031671090808692834
2021-02-28,-0.08214643215796226
2021-03-31,-0.010060639490619973
2021-04-30,-0.16240024584902676
2021-05-31,-0.00997427965974177
2021-06-30,-0.0285639431207479
2021-07-31,0.024991859462564995
2021-08-31,0.01086944822279341
2021-09-30,0.06973526671674941
2021-10-31,0.03389555343513927
2021-11-30,-0.17885305837863383
2021-12-31,-0.00990424338760806
2022-01-31,0.058429230283996686
2022-02-28,0.011465880742360957
2022-03-31,-0.021104845573219476
2022-04-30,0.034880737614559676
2022-05-31,0.010771310094248516
2022-06-30,-0.0046210220353886085
2022-07-31,-0.03035175409968184
2022-08-31,0.09735953362642442
2022-09-30,0.09002373321629743
2022-10-31,0.03684346868909395
2022-11-30,-0.058926235193597354
2022-12-31,0.02646080919477061
2023-01-31,-0.001895351080751345
2023-02-28,0.06786283548202064
2023-03-31,0.0061494966925530236
2023-04-30,-0.0009601607262292233
2023-05-31,0.04100684868618625
2023-06-30,0.1050540804159605
2023-07-31,-0.08098346617229155
2023-08-31,-0.003353963810383651
2023-09-30,0.02869633193661622
2023-10-31,0.013135988928214461
2023-11-30,-0.0534062201574708
2023-12-31,-0.08842640102958398
2024-01-31,0.08099113387283166
2024-02-29,0.08530422084529163
2024-03-31,0.10748365963147527
2024-04-30,-0.006232365946791603
2024-05-31,-0.06355539506655165
2024-06-30,0.013333141032741495
2024-07-31,-0.05684779254309812
2024-08-31,-0.003610764474302415
2024-09-30,0.034866976485148
2024-10-31,0.05636869780716978
2024-11-30,0.06037233765497096
2024-12-31,0.034165608502560174
2025-01-31,0.03785470934464572
2025-02-28,0.0717755545766491
2025-03-31,0.012189611798573328
2025-04-30,0.001225592213605271
2025-05-31,-0.13074735682009087
2025-06-30,-0.09609052555120286
2025-07-31,0.12218965769268159
2025-08-31,-0.00238677037813247
2025-09-30,-0.015411125196449453
2025-10-31,0.007995164441245685
