Date,MOM
2000-10-31 23:59:59.999999999,-0.0479
2000-11-30 23:59:59.999999999,-0.0499
2000-12-31 23:59:59.999999999,0.0087
2001-01-31 23:59:59.999999999,-0.0664
2001-02-28 23:59:59.999999999,0.0767
2001-03-31 23:59:59.999999999,0.0401
2001-04-30 23:59:59.999999999,-0.0407
2001-05-31 23:59:59.999999999,0.0666
2001-06-30 23:59:59.999999999,0.09449999999999999
2001-07-31 23:59:59.999999999,0.0152
2001-08-31 23:59:59.999999999,0.0823
2001-09-30 23:59:59.999999999,0.0981
2001-10-31 23:59:59.999999999,-0.0666
2001-11-30 23:59:59.999999999,-0.0967
2001-12-31 23:59:59.999999999,0.0273
2002-01-31 23:59:59.999999999,0.059699999999999996
2002-02-28 23:59:59.999999999,0.0594
2002-03-31 23:59:59.999999999,-0.0254
2002-04-30 23:59:59.999999999,0.06
2002-05-31 23:59:59.999999999,0.0484
2002-06-30 23:59:59.999999999,0.0809
2002-07-31 23:59:59.999999999,0.0471
2002-08-31 23:59:59.999999999,0.0217
2002-09-30 23:59:59.999999999,0.1365
2002-10-31 23:59:59.999999999,-0.0611
2002-11-30 23:59:59.999999999,-0.0886
2002-12-31 23:59:59.999999999,0.1099
2003-01-31 23:59:59.999999999,0.0203
2003-02-28 23:59:59.999999999,0.061500000000000006
2003-03-31 23:59:59.999999999,0.0223
2003-04-30 23:59:59.999999999,-0.1447
2003-05-31 23:59:59.999999999,-0.0239
2003-06-30 23:59:59.999999999,-0.046799999999999994
2003-07-31 23:59:59.999999999,-0.0461
2003-08-31 23:59:59.999999999,-0.0235
2003-09-30 23:59:59.999999999,0.009300000000000001
2003-10-31 23:59:59.999999999,0.0557
2003-11-30 23:59:59.999999999,-0.0009
2003-12-31 23:59:59.999999999,-0.0069
2004-01-31 23:59:59.999999999,0.037000000000000005
2004-02-29 23:59:59.999999999,0.0043
2004-03-31 23:59:59.999999999,-0.0239
2004-04-30 23:59:59.999999999,-0.0177
2004-05-31 23:59:59.999999999,-0.0019
2004-06-30 23:59:59.999999999,0.0208
2004-07-31 23:59:59.999999999,0.0036
2004-08-31 23:59:59.999999999,0.0126
2004-09-30 23:59:59.999999999,0.0239
2004-10-31 23:59:59.999999999,0.0
2004-11-30 23:59:59.999999999,0.0089
2004-12-31 23:59:59.999999999,0.0087
2005-01-31 23:59:59.999999999,0.0087
2005-02-28 23:59:59.999999999,0.0158
