,Start,End,N,CAGR,Ann.Vol,Sharpe,MaxDD
MOM,1990-11-01,2025-07-31,9066,0.09415656393157068,0.1174982455433763,0.8250260480212809,-0.47517377920562887
MKT_RF,1990-07-02,2025-07-31,9154,0.04512992919178416,0.17875652795484903,0.3365416253148936,-0.6308472452611749
